사업장명,업종구분소분류,상세영업상태명,소재지전체주소,도로명전체주소,Reviews,stars,stars_vote_num,n_reviews,n_stars,소재지,법정동
상모가든,한식,영업,제주특별자치도 서귀포시 대정읍 상모리 3720-1번지 ,제주특별자치도 서귀포시 대정읍 일주서로 2530,32,4.2,19,0,0.0,서귀포시,대정
앙끄레국수,한식,영업,제주특별자치도 서귀포시 법환동 876-1번지 A동 ,제주특별자치도 서귀포시 법환상로2번길 97-18 (법환동),107,3.7,119,0,0.0,서귀포시,서귀포
몰마농,양식,영업,제주특별자치도 서귀포시 성산읍 고성리 594-2번지 ,제주특별자치도 서귀포시 성산읍 환해장성로 929,162,3.8,29,0,0.0,서귀포시,성산
당케올레국수,한식,영업,제주특별자치도 서귀포시 표선면 표선리 40-36번지 ,제주특별자치도 서귀포시 표선면 민속해안로 584,267,3.7,137,0,0.0,서귀포시,표선
빨간맛집성산,한식,영업,제주특별자치도 서귀포시 성산읍 고성리 321-5번지 ,제주특별자치도 서귀포시 성산읍 고성오조로 54,38,3.6,19,0,0.0,서귀포시,성산
유동커피,카페,영업,제주특별자치도 서귀포시 서귀동 581-4번지 ,제주특별자치도 서귀포시 태평로 406-2 (서귀동),334,4.3,333,0,0.0,서귀포시,서귀포
제일수산횟집,해산물,영업,제주특별자치도 서귀포시 서귀동 298-3번지 ,제주특별자치도 서귀포시 중앙로79번길 8 (서귀동),90,4.5,82,0,0.0,서귀포시,서귀포
갈치왕,한식,영업,제주특별자치도 서귀포시 상예동 1719-1 ,제주특별자치도 서귀포시 일주서로 1146 (상예동),401,4.7,328,0,0.0,서귀포시,중문
바다보다,한식,영업,"제주특별자치도 서귀포시 성산읍 고성리 559-4번지 , 1층 ","제주특별자치도 서귀포시 성산읍 신양로122번길 29, 1층",129,3.9,112,0,0.0,서귀포시,성산
뭉치푸줏간,중식,영업,제주특별자치도 서귀포시 성산읍 고성리 298-7 ,제주특별자치도 서귀포시 성산읍 동류암로 50,108,4.8,5,0,0.0,서귀포시,성산
자금성,중식,영업,제주특별자치도 서귀포시 성산읍 성산리 295-8번지 ,제주특별자치도 서귀포시 성산읍 일출로288번길 13,65,4.5,34,0,0.0,서귀포시,성산
표선칼국수,한식,영업,제주특별자치도 서귀포시 표선면 표선리 40-52번지 ,제주특별자치도 서귀포시 표선면 민속해안로 578-3,145,3.9,49,0,0.0,서귀포시,표선
